id,items
485,AQTEVWHMO
486,ARCUVHLMO
487,AQDFVHIZM
488,ACDHJKLMOPSTXY
489,ARUVHKMN
490,ACHLMN
491,AHM
492,AQCTEFHIKMO
493,ABCDEFGHIKMRTX
494,AQBUFVHIMN
495,PARCTHYZMO
496,AGHIJLMOQRSTUVWXY
497,ACGHIKLMORSWY
498,AEUHJZM
499,ABRDVGHJM
500,ACDHKLMTUVWXZ
501,AGHJKLMPRUVWX
502,ABDEHIJLMNOVWX
503,ABCVWHYJLMO
504,ATFWHJLM
505,ARSWHXJM
506,AREFHXM
507,ABEFHKMOPQTWXYZ
508,ADEHLMPQRSVWYZ
509,ACSGHYJZKLM
510,ARSUFVWHMO
511,ASCVWHIZJKM
512,AQRCGHIM
513,ACDEFGHIJMNOQSWZ
514,AQRUEWHLMNO
515,ACSTVGHKLMO
516,PAQRCFHXYZM
517,AHZMN
518,ABCDHIJLMNPQSXZ
519,ARUHJM
520,AQRBDUHMN
521,AQBCTEHIYMO
522,AQBHIZKMN
523,ACTUFGHKLMO
524,ARSTEFGHLM
525,ABEHIJM
526,PABTEHYZKM
527,ABGHJMOPQRUVWYZ
528,PABTFHYZKMO
529,ATEHXYZM
530,ATDEHYKM
531,ACHM
532,ABTEHM
533,AHM
534,ABEFGHIJMOQWXYZ
535,ACEHJKMNPRSVWX
536,ADHM
537,AQBRSEFWHIZM
538,AQSHJZMO
539,AQFVHIKM
540,ATUFGHZM
541,PAQDEHM
542,ACDEHJLMNOPQW
543,ABEFHIJKMQTWY
544,ARDTUVHIKLM
545,AFHYMO
546,PACEVHYZKLMO
547,AREHJKLMO
548,PABRCSDEVHKM
549,AHM
550,PARDUFWHZJM
551,AQBCHJLM
552,AQRDTEGWHKM
553,ABDEFGHMORUVZ
554,ADEGHIJMNPQTVYZ
555,ACGWHXM
556,PAFHYM
557,AHM
558,AQRSDTEHXMN
559,ABCEGHIJKMNQRUVWY
560,PARBDUHKLM
561,AHM
562,AQRSCTEUFHMO
563,ACDEHMNOPRUXYZ
564,AQCSUVHXMO
565,ABRUFHXLM
566,AHM
567,PAQEVGHIZMNO
568,PABSVWHZKLMN
569,AHYKM
570,ABHLMN
571,ABFVHXIKLM
572,ASDFHXJM
573,ABCGHKMPQRUVZ
574,AFVGWHLM
575,ABEFHKMPRSTUVWXYZ
576,ABHIM
577,PACTHM
578,ABRDVHZKMNO
579,ACDHIKLMORTVXZ
580,AQCTEHLM
581,PAQBGHXZLM
582,AVHXM
583,AHM
584,ARTUVHM
585,ASHIMO
586,ABCDEGHIJKLMOQT
587,ASWHKM
588,ABDEGHIMOPQTWXY
589,AHM
590,ARCTHZJMN
591,AHZM
592,ASFVHYIJMNO
593,ABDHIJMNOQSUVX
594,ACDEHJLMPTUVWX
595,AQDHZLM
596,ACTHZM
597,ACHM
598,ACEWHM
599,ABCDHIKMNOPSTW
600,ARCUVHIKLM
601,PARCTGHYLM
602,ABUVWHXIJKMO
603,ABRHXM
604,ARSDTFVHXYLM
605,PACSVHJM
606,ADEFGHJKMNOPSVWXY
607,AQBHXKM
608,AHM
609,PAQDEGHIJKLM
610,ABDHKLMNOPRTUVXYZ
611,AHIJKLMNOPQRSUW
612,ABRSHXM
613,ABCDEHKMNRSUWY
614,ARBCGHXYJMNO
615,PAUFWHJZKMO
616,AQSHM
617,ABCDHIJMORUVXY
618,AHM
619,AHM
620,ARCDUHXJZKMO
621,ABDVHIZJMN
622,AQSTDEVGHKLM
623,AEFHM
624,PAHM
625,ABCDEFGHILMOPTUVWX
626,AQRHKM
627,AQVWGHILM
628,AQTEFWHXIM
629,AREFHXJM
630,ACDEFGHIJMNOQUWXZ
631,ASDEFHXJKLMN
632,AHIJM
633,ADTUHJKMN
634,AHM
635,AHM
636,PASCEVHYMO
637,ARTFHZLMN
638,ACTEHYIM
639,AHKM
640,ABFHXKMN
641,AEFGHLMNOSVXY
642,ABCFGHJLMNPVYZ
643,PATEFWHJZLM
644,ADHIJLMNRUVWYZ
645,PACTFHXZKMNO
646,PASCUVGHJMNO
647,AHXYM
648,ACDFGHIJLMORTY
649,AQUWHXYZM
650,ARTUHLM
651,AQSUEGWHXZMN
652,AHZM
653,AHM
654,PASTEHM
655,ADEFHKLMOSUVWY
656,ARBGHIYKLM
657,ASVWHXJZKMNO
658,ADHMNO
659,ADEGHKLMNOUVWXZ
660,AEFGHIKMNPRUVX
661,AQHJM
662,AHM
663,PAQDVHYM
664,ABGHIJLMNPQSUWXY
665,AFHKMO
666,ABCTDFHXIZM
667,PAVWHZMNO
668,ABCEHKLMQSUVWXY
669,ASFHXJM
670,ARCVFWHZMNO
671,ABDFHJKMN
672,PARTEGHXZM
673,PAQRFGHXJMN
674,ASDEGWHLM
675,PARSDGHZLMO
676,AQRSVHIJZLMN
677,ABEGHIJMNSTXY
678,AFHM
679,ARBEVHIYZM
680,AQRTDWHXM
681,AQRCUHZKM
682,ARHM
683,ATUHM
684,PARVHMN
685,ADEHJKLMPQWXYZ
686,ACFGHKLMNOPRY
687,PABSHYKLMO
688,ACEGHKMOQRSTUVXZ
689,ABEHIJLMPQRSTWX
690,AQFHYM
691,ABFGHJKMNOPQTV
692,ARVGWHXMO
693,PACSEUVWHILM
694,ABTFWHXYKMNO
695,ABCHIKMNORSUWX
696,ABCDGHIJKMQTW
697,ABDUEVGHILM
698,ABTUVHIZKLMO
699,ACEFWHXZM
700,PAQEUFWHYJLM
701,ASG
702,TEKO
703,CDEFGIJNOPRSTV
704,QDEFVGWXHYO
705,PQRSFILMO
706,EH
707,PQBTGK
708,RSTVFIJKL
709,PBRUEGHYM
710,UVW
711,ABCWXIYLO
712,CV
713,HY
714,CDEFGLNOPQRSUX
715,EVGHZN
716,ABRCVWXJLN
717,CFGHKLOPSTUVW
718,EWXO
719,SXYKM
720,BCDEFGHKOQRVWYZ
721,ABCDEHIKMOPRWY
722,BCDEILNQRTUWY
723,PTDEVWGJKM
724,BUYJL
725,FG
726,ABCDFHLMQUWXY
727,AQUGHZJLM
728,PQSCDTXIJKN
729,SUEIJO
730,QSDTHIYJKL
731,DFGHIJKMNQUVWXZ
732,QRO
733,QCSUEFXZ
734,QACDWH
735,QATEVLO
736,BTDVGIJKMN
737,QVGY
738,PBSCEGHZN
739,BDEFHYJKNO
740,PASTUVXJLNO
741,RUHINO
742,ABCEFHIKLMNPRSTUX
743,QFG
744,CEFGKLPQSTVWX
745,PRBEVGYKL
746,PQUFGYK
747,PBCUJKLMO
748,BCEGILMORSTUVXY
749,QWGZM
750,CFGHIJKMNPRSWY
751,RY
752,BCEFWX
753,BSGIZJMNO
754,UVXZK
755,ABCDGJKLOPRTWX
756,PRTUWHIYLMN
757,BGHLN
758,CEGIJKMQSTUWXY
759,EFGXJLO
760,RVXZLMO
761,PARCDUWJNO
762,TUGXYIJLMN
763,PBSTDEVWKMNO
764,FGKM
765,SXN
766,CDTVXJKLMNO
767,RSCTDUYM
768,EXYN
769,RBTFWYJKMNO
770,CSDEFHKL
771,RSTDUFW
772,BWLM
773,IMO
774,CGIJKLNORTVWZ
775,CTGM
776,CVWHXYIZJN
777,BUVFHXYILN
778,PCTUVL
779,PQBVFGWXIZN
780,PQRCTEVWHNO
781,CDFGHILQRSUVWX
782,CDEGXHILMN
783,TWJL
784,FGYN
785,HYK
786,BFWXJKMO
787,PBSTFXY
788,QSTEVFWGXY
789,PCTDFVYZKNO
790,TDFGIJMN
791,UWJ
792,TFY
793,QRBTEFW
794,BCFHJNPRUWXYZ
795,PARBSDEVIM
796,RSCUVXIJNO
797,ABDFMPQRSTWXY
798,BRDEUFVGIZJK
799,KO
800,BCEFIJKMQSTUWY
801,TEGZ
802,QSTEHXYZN
803,QFGWL
804,RVGHM
805,QTFXJKLNO
806,RCTEGHYIZKLN
807,PQSZJKN
808,PQUGXHYN
809,WHMN
810,BCFX
811,QRBVWYK
812,BCTWGHXLMNO
813,QRSDFGHK
814,PBRFHIMO
815,ADEFKLMNOPQTUVY
816,BSFNO
817,ACSTDEFWJK
818,PQARDFWI
819,BFHIKLMNRSTXY
820,DEFGHKLMNRTWX
821,ASTDUVGIKNO
822,TFX
823,TEWIZO
824,RTEUFWGHIJ
825,RYL
826,CTD
827,XZKL
828,QSTUVHYN
829,DEFGJKLMOQRTXZ
830,QSTFGYIMNO
831,AEGHJKLMNPQRSVX
832,PQTEFHIJMO
833,RDTVWKLM
834,SEVWGZKLN
835,QARCEGIJZO
836,ABCIJKMNOPQSVW
837,QARCSEUVFWYO
838,EUVGWHXYK
839,PRCDUVHYINO
840,QDYZ
841,BRHJLMO
842,ACEGILMNORTUVWY
843,PELN
844,QCDEUWGXM
845,CTUJLMN
846,BRSVWHIYMO
847,PQBEUVHYLMO
848,DEFGHIJNOPQRSXZ
849,FY
850,QBCFGIJKL
851,RUV
852,EWY
853,CDEFGJLPSUVWY
854,FY
855,QDMN
856,CG
857,EKO
858,BGXO
859,ASUK
860,ADFHMNQRSTUVWY
861,EF
862,CGXZKL
863,CEHILMNORSVWY
864,QREUG
865,RBTDEUVWXKLN
866,ABTEG
867,PATUFHYJZLN
868,PBSCEFVWXIJM
869,TJ
870,PQSTEWXIJKLO
871,PQBUFKL
872,L
873,UGJ
874,BSI
875,EXLM
876,BDEFGJPQRSUXY
877,CTGIKLMO
878,EFM
879,BFGHINOPRTUVW
880,PQCEWHIZKL
881,CSTXZ
882,PCDUFWGXINO
883,QCSUWGYL
884,RBSVWHI
885,ABDGIJNRTVWYZ
886,PQBRCTVWJKMN
887,PSEFWXHJKLM
888,QSDEVGNO
889,ARCTVFGWJKL
890,QRCDUWYJM
891,CUEVWHYJZKO
892,ABSDTEUVGINO
893,PQRSWXHIJKM
894,PM
895,SEWHK
896,PQSTJKNO
897,LM
898,RSCTFGX
899,PARSEWHXKN
900,EFGHMO
901,BCDILMNPQRUVWXY
902,GO
903,QRCSTDYIMN
904,PBTVIYJM
905,QUFGWXHIKLN
906,PRSFWIKLN
907,ABH
908,ARBEFWGXYIJO
909,K
910,TFX
911,CTVWL
912,DGLM
913,X
914,QBRCSTEXIJMN
915,ABCDFGHJNQTVWY
916,DGHIJKLQTUWXZ
917,ABRCDVFWJLMO
918,ABDHJLPQRTUVWX
919,QCSTUEIYZNO
920,PQBCDVGWXHZM
921,BCDGHNOQTVWXZ
922,ALN
923,DTJ
924,UFIYLMO
925,WHY
926,SUEGXIJN
927,DUFGYJN
928,ABSCDUEFWJN
929,CUFN
930,ABRSTEVFGWYM
931,CDEWI
932,QCDTUFYILMNO
933,XYM
934,QBWXZ
935,QBXJO
936,PQABCSUEFKLN
937,PEVJN
938,QSTFJMN
939,ABSDUFVGHKLM
940,SUO
941,RUJK
942,BEFIKLNOPRSTUVX
943,DF
944,W
945,QDUVXJZLMO
946,XIK
947,QCEGXINO
948,QRBCSVWGYM
949,PQCWHY
950,BCTUEVYINO
951,PABTUEGIYMO
952,C
953,JM
954,ATDFGWHIL
955,BCTEGXIZLO
956,ACSDFGYK
957,TF
958,BJN
959,QCTUWGI
960,ZO
961,RDEG
962,PRJMN
963,CHKO
964,K
965,ADEFGYLMN
966,CDGHIJKORUVWY
967,RCSEHYJLN
968,BDGJKLMNOPQTUVW
969,RBCDTUXYIO
970,RTUVWHYZJL
971,QBCTEUFGIJKO
972,QBRUFWHYJ
973,PRBDTGYIMO
974,RSFGXHYINO
975,TEVLMO
976,ABCDEFGLQRTUZ
977,AJ
978,TVXJ
979,CDTFVGHXYJO
980,QUVILMO
981,BRSCUVFHYN
982,AEILNOPQSUVXY
983,PRDEWHXIJMNO
984,PRTEFVXIJLMN
985,PQABSDWXIYKN
986,ARBSEJKN
987,PREVWM
988,PQDEGXL
989,PBSUGY
990,BCDEFGHKNQUVXY
991,BCEFHJKLNOQTXY
992,PSCDGXHYK
993,PQCSTEUVWJLO
994,CUG
995,QSGXHIMN
996,RCDUFIYJLN
997,PQBCTEVHXIMN
998,ADGHJMNOPRTWY
999,QRDEVZJKN
1000,PRSTDEFYKM
